Investment Banking Name,Country
Tiarta L.L.C.,United-States-of-America
TIS Group,United-States-of-America
"TJM Institutional Services, LLC",United-States-of-America
TNFG Corporation,United-States-of-America
Torque Partners LLC,United-States-of-America
"Touchstone Group, LLC",United-States-of-America
"TradeHelm, Inc.",United-States-of-America
"TradeStation Securities, Inc.",United-States-of-America
Tradewire Securities LLC,United-States-of-America
Trend Macrolytics LLC,United-States-of-America
TrimTabs Investment Research,United-States-of-America
"U.S. Bancorp Fund Services, Ltd.",United-States-of-America
"U.S. Energy Services, Inc.",United-States-of-America
"UMB Fund Services, Inc.",United-States-of-America
"Union Gaming Research, LLC",United-States-of-America
Vandham Securities Corp.,United-States-of-America
Variman LLC,United-States-of-America
VerticalCrossings.com Inc.,United-States-of-America
"vFinance, Inc.",United-States-of-America
Vivid Research Inc.,United-States-of-America
Vyapar Capital Market Partners LLC,United-States-of-America
"W Capital Partners, LLC",United-States-of-America
Wall Street Access Corporation,United-States-of-America
"Wall Street Options, LLC",United-States-of-America
Wealth Management Services LLC,United-States-of-America
Wealthplace,United-States-of-America
"Weil, Gotshal & Manges LLP",United-States-of-America
Wells Fargo Global Fund Services LLC,United-States-of-America
"WhiteSand Research, LLC",United-States-of-America
Woodfield Fund Administration LLC,United-States-of-America
"Woodford Group, LLC",United-States-of-America
Wunderlich Fixed Income Capital Markets,United-States-of-America
"Young America Capital, LLC",United-States-of-America
Yulish & Associates,United-States-of-America
Zapip Corporation,United-States-of-America
Conifer Fund Services Ltd.,Virgin-Islands
