Investment Banking Name,Country
FxPro Financial Services Limited,Cyprus
Global Capital Securities and Financial Services Ltd,Cyprus
IronFX Global Limited,Cyprus
J&t Financial Services Limited,Cyprus
Kommunalkredit International Bank Ltd.,Cyprus
OJSC Promsvyazbank,Cyprus
Reditus Partners,Cyprus
SAFS Holdings Public Ltd.,Cyprus
"Sharelink Securities and Financial Services Ltd., Research Division",Cyprus
"BH Securities a.s., Research Division",Czech-Republic
"Ceskoslovenska obchodni banka, a. s.",Czech-Republic
"CORPIN, a.s.",Czech-Republic
"Cyrrus, A.S., Research Division",Czech-Republic
Fincentrum a.s.,Czech-Republic
HSBC Bank plc - Prague Branch,Czech-Republic
Image M&A a.s.,Czech-Republic
"International Project and Investment Development Corporation, SE",Czech-Republic
"J & T Banka, A.S., Research Division",Czech-Republic
"Modra Pyramida stavebni sporitelna, a.s.",Czech-Republic
"Partners Financial Services, a.s.",Czech-Republic
PPF a.s.,Czech-Republic
The Royal Bank of Scotland N.V. pobocka Praha,Czech-Republic
"WOOD & Company Financial Services, a.s.",Czech-Republic
Alm Brand Bank AS,Denmark
CFH Group A/S,Denmark
"Danske Bank, Research Division",Denmark
Danske Commodities A/S,Denmark
DiBa Bank A/S,Denmark
Financial Objects A/S,Denmark
Forsknings- og Teknologipark A/S,Denmark
Huset Mandag Morgen A/S,Denmark
Interprise A/S,Denmark
Nykredit Bank A/S,Denmark
"Nykredit Realkredit A/S, Research Division",Denmark
Praetorian Capital,Denmark
"Saxo Bank A/S, Research Division",Denmark
Schr  der Partners A/S,Denmark
Sparekassen Kronjylland A/S,Denmark
Sparekassen Lolland AS,Denmark
Banco General Rumi ±ahui S.A.,Ecuador
Abu Dhabi Securities Brokerage- Egypt,Egypt
"Beltone Financial Holding SAE, Research Division",Egypt
"Cairo Financial Holding, Research Division",Egypt
"OKAZ Stockbrokers and Investment Consultants, Research Division",Egypt
The Egyptian Credit Bureau S.A.E.,Egypt
Conglomerado Financiero Internacional Banagricola S.A.,El-Salvador
AS LHV Pank,Estonia
Audiitorteenuse O ú,Estonia
BIGBANK AS,Estonia
O ú Redgate Capital,Estonia
Porta Finance,Estonia
Econia Yrityspalvelut Oy,Finland
FOEX Indexes Oy,Finland
Hermia Yrityskehitys Oy,Finland
Inspecta Group Oy,Finland
Oy Inderes Ltd.,Finland
Promenade Research Oy,Finland
UCB Universal Consulting Bureau Oy,Finland
ABCIA SA,France
Advention Business Partners,France
Agathis Advisors,France
Alexander Hughes S.A.,France
Altedia SA,France
Altenor SAS,France
Amilton Finance,France
Asset Value Addition,France
Ateliers du Lys,France
Aucteor Finance,France
Audisoft Consultants,France
"Audit & Diagnostic, SARL",France
"Aurel BGC, Research Division",France
Banque Accord Soci ©t © Anonyme,France
