Investment Banking Name,Country
Bank of China International Limited,Hong-Kong
BHI Investment Advisors (Asia) Limited,Hong-Kong
"BOCOM International Securities Limited, Research Division",Hong-Kong
CCB International (Holdings) Limited,Hong-Kong
"CCB International Securities Limited, Research Division",Hong-Kong
"CLSA Limited, Research Division",Hong-Kong
CN Intelligence Group Limited,Hong-Kong
"DBS Bank Ltd., Hong Kong Branch",Hong-Kong
ICBC International Research Limited,Hong-Kong
International Registries (Far East) Ltd.,Hong-Kong
KEB Asia Finance Limited,Hong-Kong
Link Resources International Consulting Group Limited,Hong-Kong
RBS Asia Limited,Hong-Kong
Sino Daren Co. Ltd.,Hong-Kong
Standard Chartered Securities (Hong Kong) Limited,Hong-Kong
"The Bank of East Asia, Limited, Research Division",Hong-Kong
Worldsec International Limited,Hong-Kong
Commerzbank Zrt,Hungary
Credigen Bank Zrt.,Hungary
Hanwha Bank Hungary Co. Ltd.,Hungary
MagNet Bank Zrt.,Hungary
Magyar Takar ©ksz  vetkezeti Bank Zrt.,Hungary
"OTP Bank Plc., Research Division",Hungary
Region °lis Fejleszt ©si Holding Zrt.,Hungary
"Arion Bank hf., Research Division",Iceland
ISB Holding ehf.,Iceland
Kirna ehf.,Iceland
Abhyudaya Co-Operative Bank Ltd.,India
Alankit Assignments Ltd.,India
ANZ Capital Private Limited,India
Apna Sahakari Bank Ltd,India
"Asian Markets Securities Private Limited, Research Division",India
BNP Paribas India Holding Private Limited,India
BOB Capital Markets Limited,India
Coalescent Technologies Pvt. Ltd.,India
Crescent Finstock Limited,India
Crisil Risk and Infrastructure Solutions Ltd.,India
Derivium Tradition Securities (India) Pvt. Ltd.,India
"Elara Securities (India) Private Limited, Research Division",India
Gramin Bank of Aryavart,India
Grass Roots Performance Services India Pvt. Ltd.,India
HDFC Securities Limited,India
ICICI Securities Primary Dealership Limited,India
"IDFC Securities Ltd., Research Division",India
"India SME Asset Reconstruction Company, Ltd.",India
Javeri Fiscal Services Ltd.,India
KP Corporate Solutions Limited,India
Latitude Edutech Consulting Pvt Ltd,India
"Mape Securities Private Limited, Research Division",India
Model Co-operative Bank Ltd.,India
Pace Stock Broking Services Pvt. Ltd.,India
Plenty Valley Intra Limited,India
Progressive Co-Operative Bank Ltd.,India
Rajkot Nagarik Sahakari Bank Ltd.,India
Rupee Co-Op Bank Ltd.,India
SBI Capital Markets Limited,India
SBI DFHI Limited,India
Shri Arihant Co Operative Bank Ltd.,India
Shri Mahila Sewa Sahkari Bank Ltd.,India
South Pole Securities Ltd.,India
TeamLease Services Private Ltd,India
